Squat Jumps,,,,,,,,,,,,,,,,,,
version=1,,,,,,,,,,,,,,,,,,
nRows=14370,,,,,,,,,,,,,,,,,,
nColumns=19,,,,,,,,,,,,,,,,,,
inDegrees=yes,,,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,,,
time,ground_force1_vx,ground_force1_vy,ground_force1_vz,ground_force1_px,ground_force1_py,ground_force1_pz,ground_torque1_x,ground_torque1_y,ground_torque1_z,ground_force2_vx,ground_force2_vy,ground_force2_vz,ground_force2_px,ground_force2_py,ground_force2_pz,ground_torque2_x,ground_torque2_y,ground_torque2_z
0,0.653956,367.120758,16.995815,0.232703,0,-1.044096,0.000007,2.096871,0.000006,-2.205982,388.863129,-19.76088,0.255534,0,-0.775758,0.000021,-1.70847,0.000008
0.001,0.415076,367.279419,16.426456,0.231702,0,-1.044154,0.000023,2.093015,0.000005,-2.043948,388.072784,-20.246838,0.255553,0,-0.7772,0.000001,-1.946883,0.000005
0.002,0.574608,367.116821,16.58913,0.23251,0,-1.044151,0.000025,2.105701,0.000004,-1.883582,388.856995,-20.085539,0.25626,0,-0.775813,0.000017,-2.002855,0.000006
0.003,0.575442,368.385773,16.751118,0.232201,0,-1.045791,0.000026,2.065142,0.000008,-2.04645,389.181152,-19.840839,0.255763,0,-0.776071,0.00002,-1.810049,0.000006
0.004,0.575442,366.166901,16.993752,0.232337,0,-1.043594,-0.000013,2.097337,0.000005,-2.522543,389.343262,-20.246838,0.255799,0,-0.774709,-0.000002,-1.790725,0.000007
0.005,1.056539,366.006622,16.993752,0.232829,0,-1.043008,0.000003,2.070551,0.000002,-2.045616,388.226807,-20.166187,0.256511,0,-0.77664,0.000015,-1.795979,0.000003
0.006,0.496926,367.588562,17.235699,0.232497,0,-1.045211,0.000031,2.052976,0.000006,-2.363012,389.498901,-20.165501,0.255926,0,-0.775564,0.00002,-1.851718,0.000006
0.007,0.418411,366.959167,17.152298,0.232732,0,-1.044393,-0.000013,2.054944,0.000001,-2.205982,388.069885,-20.246838,0.255871,0,-0.776065,0.000032,-1.72214,0.000005
0.008,0.81599,368.862457,16.66634,0.232769,0,-1.045152,0.000015,2.227565,0.000002,-1.805068,389.021576,-20.326111,0.255691,0,-0.775843,0.000034,-2.085711,-0.000001
0.009,1.056539,369.970642,16.990311,0.232737,0,-1.047075,0.000008,2.237681,0.000003,-1.884418,389.4935,-20.084164,0.255988,0,-0.774992,0.000029,-2.021726,0.000002
0.01,0.978858,368.387085,16.585691,0.232617,0,-1.044915,0.000007,2.034637,0.000005,-2.044783,389.650787,-20.165501,0.256242,0,-0.7753,0.000013,-1.894246,0.000007
0.011,0.737475,367.439819,16.989624,0.232232,0,-1.045265,0.000013,2.184212,0.000003,-1.884418,389.020264,-20.166187,0.256532,0,-0.77526,-0.000005,-1.962762,0.000007
0.012,1.296253,367.434509,17.555542,0.233215,0,-1.045189,0.000011,2.399503,0.000001,-2.20348,389.496613,-20.003513,0.256118,0,-0.775547,0.000016,-1.893152,0.000012
0.013,1.058207,367.116455,17.230196,0.232941,0,-1.044364,0.000023,2.294854,0.000004,-1.884418,389.335999,-19.761566,0.25691,0,-0.775513,0.000038,-1.920585,0.00001
0.014,0.740811,366.805481,17.636192,0.233203,0,-1.044648,0.000017,2.056506,0.000001,-2.204313,389.973755,-20.166187,0.255917,0,-0.775877,0.000016,-1.813347,0.000006
0.015,0.978858,366.959167,17.634815,0.232811,0,-1.044324,0.000007,2.288627,0.000003,-2.283663,388.236023,-20.166187,0.255622,0,-0.776052,0.000011,-1.820814,0.000001
0.016,0.820993,367.592712,17.633442,0.2329,0,-1.043351,0.000035,2.195541,-0.000002,-1.881916,389.971283,-19.679543,0.256981,0,-0.775537,-0.000007,-2.135028,0.00001
0.017,0.899508,367.753265,17.065458,0.232492,0,-1.044918,0.00002,2.322512,0.000006,-2.443195,389.339325,-20.088287,0.255811,0,-0.775261,0.000022,-1.610173,0.000004
0.018,0.900342,367.913391,17.065458,0.23279,0,-1.044602,-0.000019,2.262124,0.000003,-1.962098,389.811707,-19.680918,0.256867,0,-0.775245,-0.000004,-2.015711,0.000006
0.019,0.982194,368.549164,17.390806,0.233096,0,-1.044788,0.00002,2.095757,0.000005,-2.200978,390.133881,-20.573557,0.256189,0,-0.775372,0,-1.931825,0.000008
0.02,0.900342,367.276581,17.064083,0.233035,0,-1.043467,-0.00001,2.326907,0.000008,-2.362177,388.22876,-19.926304,0.25664,0,-0.776891,0.000008,-1.693037,0
0.021,0.423416,366.330139,16.983433,0.232616,0,-1.04328,0.000041,2.052877,0.000004,-2.600224,390.445679,-20.815502,0.256171,0,-0.775146,0.000011,-1.835642,0.000013
0.022,0.742478,366.967407,17.14542,0.232595,0,-1.043491,0.000004,2.162409,0.000011,-2.121629,387.598694,-20.087603,0.25609,0,-0.778012,-0.000003,-1.905406,0.000007
0.023,0.582113,367.283997,16.820759,0.232809,0,-1.043202,0.000013,2.177729,0.000004,-1.961264,390.764526,-20.412947,0.256633,0,-0.775395,-0.000006,-1.954151,0.00001
0.024,0.820993,368.075317,16.819384,0.232355,0,-1.044016,0.000025,2.354364,0.000003,-2.122464,388.863434,-19.926304,0.256739,0,-0.775218,0.000043,-1.801341,-0.000001
0.025,0.820993,369.337341,16.41614,0.232586,0,-1.045732,0.000049,2.237192,0.000009,-2.121629,390.126984,-19.844967,0.256711,0,-0.775287,0.000004,-1.871421,0.000006
0.026,1.060708,369.812073,16.41614,0.233153,0,-1.045381,0.000019,2.273804,0.000008,-2.520876,389.027802,-20.493595,0.255767,0,-0.776428,0.000012,-1.722848,0
0.027,0.981359,370.450165,16.904848,0.233255,0,-1.045542,0.000022,2.115835,0.000009,-2.041446,388.868011,-19.76363,0.25658,0,-0.775758,-0.00001,-1.940743,-0.000004
0.028,1.221074,369.811554,17.146795,0.232998,0,-1.046175,0,2.231998,0.000011,-2.361344,390.921387,-20.736231,0.256171,0,-0.77488,0.00002,-1.798021,0.000003
0.029,1.219406,369.494476,17.066147,0.233659,0,-1.045328,0.000016,2.310583,0.000002,-1.723217,389.181488,-19.762943,0.256999,0,-0.775499,0.000018,-2.015311,0.000001
0.03,1.059874,369.339844,17.634129,0.232797,0,-1.044363,0.000029,2.264004,0.000003,-2.119127,391.234802,-20.572182,0.256921,0,-0.775735,0.000003,-2.15035,0.000008
0.031,0.899508,368.071167,17.392181,0.233269,0,-1.04424,-0.000019,2.195308,0.000006,-2.201812,387.596893,-20.412258,0.256592,0,-0.777775,0.000021,-1.821252,0.000012
0.032,0.898675,368.390411,17.066835,0.232963,0,-1.043649,0.000001,2.303255,0.000002,-2.682076,390.602325,-20.169624,0.256773,0,-0.774792,0.000001,-1.528328,0.000006
0.033,0.816824,368.388428,17.228821,0.232952,0,-1.043926,0.000024,2.428263,0.000003,-2.680407,389.185577,-20.574245,0.256189,0,-0.775882,0.000018,-1.683764,0.000005
0.034,1.218572,368.542908,17.068899,0.233311,0,-1.045433,0.000035,2.236082,-0.000001,-2.121629,389.817291,-20.006954,0.257185,0,-0.774716,0.000022,-1.87002,0.000014
0.035,0.977189,369.176788,17.070272,0.233026,0,-1.04416,0.000017,2.239798,0.000004,-2.601059,391.874207,-20.574245,0.255907,0,-0.774911,0.000004,-1.690174,0.000001
0.036,0.977189,368.227661,17.231571,0.233218,0,-1.044244,0.000023,2.281086,-0.000001,-1.965433,388.861084,-20.086914,0.257103,0,-0.775814,0.000009,-1.751542,0.000004
0.037,0.817657,367.114685,17.637568,0.233267,0,-1.043404,0.000046,2.207511,0,-2.360511,391.234467,-20.652145,0.256886,0,-0.774897,0.00002,-1.98878,0.000006
0.038,0.897006,367.433563,17.152298,0.233333,0,-1.043138,0.00005,2.193055,0.000006,-1.724051,388.07309,-19.92424,0.256965,0,-0.777166,0.000028,-1.997814,0.000002
0.039,0.339063,369.018311,17.312908,0.232999,0,-1.044444,0.000002,2.076666,0.000007,-2.362177,391.720581,-20.410198,0.256004,0,-0.774309,-0.000009,-1.834716,-0.000002
0.04,0.577109,368.540802,17.392868,0.233576,0,-1.043587,0.000033,2.280433,0.000001,-2.520041,388.866058,-20.086914,0.256517,0,-0.776089,0.000008,-1.83216,0.000004
0.041,0.416744,368.077301,16.826952,0.232115,0,-1.043112,0.000013,2.223457,0.000003,-2.441526,389.820557,-20.168251,0.256635,0,-0.77615,0.000008,-1.758096,0.000002
0.042,0.81599,368.703705,16.422331,0.232648,0,-1.044002,0.000032,2.265337,0.000004,-2.680407,389.657837,-20.492908,0.256499,0,-0.775905,0.000009,-1.690874,0.000005
0.043,0.577109,368.864136,16.585691,0.232732,0,-1.043963,0.000036,2.105246,0.000008,-2.680407,390.13205,-20.166187,0.256979,0,-0.776177,0.000021,-1.802609,0.00001
0.044,0.895339,369.178223,16.989624,0.232836,0,-1.044771,0.000044,2.334513,0.000005,-2.520041,389.976532,-20.49222,0.256388,0,-0.776771,0.000021,-1.833341,-0.000001
0.045,1.373934,369.015198,16.990999,0.233144,0,-1.044488,0.000013,2.408842,0.000004,-2.041446,390.13913,-19.842903,0.256719,0,-0.77442,0.000022,-2.029142,0.000002
0.046,0.976356,370.27887,16.990999,0.233676,0,-1.046144,0.00004,2.192116,0.000008,-2.121629,391.07962,-20.328861,0.257326,0,-0.775126,0.000012,-1.981828,0
0.047,0.975522,370.913025,17.476957,0.233608,0,-1.046301,0.00002,2.280522,0.000006,-2.441526,390.445007,-20.086227,0.256874,0,-0.775621,0.000001,-1.802109,0.000003
0.048,0.736641,370.598602,16.908974,0.233695,0,-1.045224,0.000024,2.192681,0.000002,-2.521709,390.44812,-20.410883,0.256864,0,-0.775661,0.000033,-1.727751,0.000001
0.049,0.735807,370.441101,17.072336,0.233041,0,-1.045813,0.000061,2.201641,0.000001,-1.96043,391.238251,-20.086227,0.256773,0,-0.775948,0.000013,-2.128552,0.000007
0.05,1.135053,370.443237,16.909662,0.233814,0,-1.045542,-0.000008,2.306549,0,-2.681242,390.130035,-19.842216,0.25698,0,-0.77642,0.000023,-1.732186,0.000002
