Squat Jump,,,,,,,,,,,,,,,,,,
version=1,,,,,,,,,,,,,,,,,,
nRows=13340,,,,,,,,,,,,,,,,,,
nColumns=19,,,,,,,,,,,,,,,,,,
inDegrees=yes,,,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,,,
time,ground_force1_vx,ground_force1_vy,ground_force1_vz,ground_force1_px,ground_force1_py,ground_force1_pz,ground_torque1_x,ground_torque1_y,ground_torque1_z,ground_force2_vx,ground_force2_vy,ground_force2_vz,ground_force2_px,ground_force2_py,ground_force2_pz,ground_torque2_x,ground_torque2_y,ground_torque2_z
0,54.55954,538.842957,86.062546,0.296789,0,-1.107913,0.00003,-2.139366,0.000011,1.289538,591.025696,-86.158089,0.395113,0,-0.673276,0.000001,4.459038,0.000009
0.001,54.001598,537.260254,85.819916,0.297222,0,-1.107422,-0.000024,-2.331796,0.000009,1.36722,589.920654,-85.834808,0.395352,0,-0.672634,0.000004,4.605519,0.000006
0.002,54.240479,537.419006,85.575211,0.29706,0,-1.107414,0.000014,-2.146548,0.000012,1.448236,589.446655,-85.754158,0.395491,0,-0.671961,0.000001,4.525654,0.000012
0.003,53.999931,536.141479,85.897812,0.297777,0,-1.107217,0.000035,-2.103916,0.000007,1.529254,587.386047,-85.837555,0.395892,0,-0.673033,0.000039,4.583694,0.000009
0.004,54.400841,535.35144,85.815781,0.297628,0,-1.10717,0.000013,-2.079045,0.000015,1.129173,588.653198,-85.917519,0.39565,0,-0.672746,0.000005,4.693619,0.000017
0.005,54.478523,535.824829,85.653107,0.297825,0,-1.107922,0.000042,-1.944443,0.000008,1.209356,589.443848,-85.754845,0.395472,0,-0.672527,0.000029,4.582982,0.000012
0.006,54.239643,533.754395,86.057045,0.298605,0,-1.106835,0.000037,-1.987368,0.000011,1.527585,590.075378,-85.752777,0.395736,0,-0.672665,0.000011,4.487614,0.000007
0.007,54.717407,533.918579,85.409103,0.298591,0,-1.107698,0.000044,-1.860646,0.000016,1.606935,588.968262,-84.862892,0.395978,0,-0.672161,0.000037,4.484096,0.000011
0.008,54.079277,533.115601,85.082382,0.299214,0,-1.107679,0.000016,-1.932794,0.000003,1.686283,586.434814,-85.10759,0.396628,0,-0.673146,-0.000001,4.656683,0.000002
0.009,53.921413,531.841064,85.162338,0.29945,0,-1.107502,0.00002,-2.042603,0.000011,1.766466,585.965393,-84.864265,0.39654,0,-0.672451,0.000005,4.563754,0.000006
0.01,54.240479,531.681946,84.919708,0.299667,0,-1.106933,-0.000019,-1.969044,0.000018,1.846649,586.274109,-84.540298,0.396726,0,-0.673064,0.000032,4.500835,0.000024
0.011,54.000763,530.093262,84.512329,0.299896,0,-1.106238,0.000041,-1.862359,0.000007,1.365552,586.118591,-85.026253,0.396199,0,-0.673068,-0.000004,4.779123,0.00001
0.012,53.604019,529.292236,84.268326,0.300675,0,-1.106419,0.000017,-2.123704,0,1.68545,585.801025,-84.782242,0.39662,0,-0.673359,0.00001,4.61188,0.000002
0.013,53.442818,528.655762,83.619003,0.30104,0,-1.106817,-0.000004,-2.034362,0.00001,2.005347,584.383301,-84.457588,0.396824,0,-0.672828,0.000008,4.436607,0.000016
0.014,53.764385,528.017334,83.698967,0.301327,0,-1.106933,0.000002,-2.102369,0.000012,2.164044,582.799744,-83.890289,0.39733,0,-0.673196,0.00002,4.426008,0.00001
0.015,53.124592,526.741272,83.697594,0.301647,0,-1.106342,0.000034,-2.07497,0.000011,2.162376,582.961365,-84.05365,0.39736,0,-0.673243,0.000028,4.62452,0.000005
0.016,53.203941,527.055908,83.454269,0.301907,0,-1.106725,0.000018,-2.051984,0.000019,2.241725,583.429688,-83.810333,0.397232,0,-0.672949,0.000037,4.583594,0.00001
0.017,53.362637,527.522705,83.534225,0.30211,0,-1.106835,0.000011,-1.929182,0.00001,2.240892,584.227661,-84.052963,0.396927,0,-0.672567,0.000025,4.621634,0.000012
0.018,53.203106,526.252563,83.208878,0.302732,0,-1.106487,0.000064,-1.932629,0.000009,2.080526,583.2771,-83.405022,0.397413,0,-0.673065,0.000028,4.68963,-0.000002
0.019,52.72451,525.607727,82.640213,0.303575,0,-1.10646,0.000001,-2.031359,0.000001,2.160709,582.321106,-83.486359,0.397923,0,-0.673253,0.000054,4.710874,0.000006
0.02,52.405445,524.65979,82.802887,0.303551,0,-1.105997,0.000017,-2.118218,0.000016,2.240058,579.952393,-82.67643,0.398388,0,-0.673425,0.000017,4.678875,0.000001
0.021,52.642662,525.916565,82.152878,0.304071,0,-1.106659,-0.000012,-1.892854,0.000014,2.240892,579.956665,-83.161011,0.398271,0,-0.673274,0.000015,4.593612,0.000008
0.022,52.084713,523.050659,81.90818,0.305061,0,-1.106401,0.000045,-2.039169,0.000002,1.99951,581.374023,-82.918373,0.398068,0,-0.673186,0.000045,4.763804,0.000012
0.023,52.323597,523.046265,82.152191,0.305591,0,-1.105533,0.000041,-2.003119,0.000004,1.840812,581.857117,-83.24028,0.3978,0,-0.67293,0.000014,4.651622,0.000011
0.024,52.002033,525.568481,80.772903,0.305784,0,-1.107075,0.000049,-1.882731,0.000002,2.239223,580.111328,-82.431046,0.398531,0,-0.672866,0.000027,4.604536,0.000001
0.025,51.205208,521.766602,81.418098,0.306641,0,-1.104585,0.000038,-1.944319,0.000003,2.39959,579.638306,-81.863747,0.398454,0,-0.673091,0.000041,4.43245,0.000019
0.026,51.601952,521.278198,81.174774,0.307645,0,-1.104917,0.000013,-1.786384,0.000009,2.240058,578.526855,-81.457062,0.398916,0,-0.6732,0.000007,4.380305,0.000008
0.027,51.362236,522.53363,80.687439,0.307859,0,-1.106204,0.00002,-1.828859,0.000018,1.839978,576.312134,-81.78035,0.399147,0,-0.674088,0.000015,4.569561,0.000017
0.028,50.405884,521.262878,81.010727,0.308547,0,-1.104938,0.000004,-2.080677,0.000005,2.239223,576.785522,-81.619049,0.399043,0,-0.673601,0.000023,4.461929,0.000014
0.029,50.562912,520.775696,80.848053,0.309274,0,-1.104624,0.000041,-1.88167,0.000013,2.15904,576.624756,-81.859619,0.399237,0,-0.673975,0.000007,4.428006,0.000006
0.03,49.842934,519.494507,79.713455,0.309741,0,-1.104771,0.00004,-1.91931,0.000016,1.920161,575.99176,-81.940269,0.399325,0,-0.674229,0.000034,4.451825,0.000018
0.031,49.123791,519.334778,79.7948,0.310246,0,-1.104157,0.000087,-2.041542,0.000013,2.557453,575.358459,-81.453629,0.399491,0,-0.673855,0.000008,4.295274,-0.000007
0.032,49.20314,518.368896,79.550789,0.311557,0,-1.103517,0.000068,-2.012949,0.000011,2.235054,574.251465,-81.614922,0.39971,0,-0.673435,0.000007,4.592357,0.000022
0.033,48.722038,518.829895,79.466698,0.312205,0,-1.10429,0.000042,-1.900112,0.000022,2.313569,573.620789,-81.532898,0.399712,0,-0.673672,0,4.598702,0.000029
0.034,48.322796,519.460022,78.737419,0.312274,0,-1.103388,-0.000002,-1.906486,0.000014,2.232553,574.091675,-81.612167,0.399567,0,-0.674364,0.000026,4.610309,0.000018
0.035,48.161598,518.490967,78.979362,0.313953,0,-1.103981,0.000029,-1.948162,0.000012,2.392084,573.303528,-82.097443,0.39989,0,-0.673848,0.000004,4.616715,0.000006
0.036,47.363102,519.116943,78.571991,0.314621,0,-1.103263,0.000023,-1.98392,0.000011,2.946692,573.140808,-81.287514,0.399911,0,-0.67355,0.000009,4.663729,0.000001
0.037,46.960522,518.945801,78.166687,0.315291,0,-1.103337,0.000017,-1.865413,-0.000005,2.866509,572.504578,-81.446747,0.400478,0,-0.673237,0.000002,4.636792,0.000016
0.038,46.881172,520.037231,78.166687,0.315953,0,-1.103339,0.000047,-1.964924,0.000014,3.024373,571.555237,-80.960785,0.400429,0,-0.674144,0.000043,4.656976,0.00002
0.039,46.321564,518.601563,78.649887,0.317544,0,-1.102505,0.000052,-1.979022,0.00001,3.742682,570.290588,-80.553413,0.400832,0,-0.673634,0.000006,4.340774,0.000009
0.04,46.239712,519.854858,77.434654,0.318132,0,-1.103027,0.000005,-1.890122,0.000015,3.583152,571.076782,-81.120026,0.400389,0,-0.674055,0.000012,4.379973,0.000023
0.041,44.722073,519.526489,76.945259,0.318375,0,-1.102285,0.000001,-1.934743,0.000013,3.342603,570.927063,-81.037994,0.400566,0,-0.673621,0.000032,4.474517,0.000008
0.042,44.641056,519.359497,77.513237,0.319717,0,-1.102265,0.000082,-2.036358,0.000002,3.499633,570.130188,-81.037994,0.400898,0,-0.674228,0.000006,4.631372,0.000019
0.043,44.160793,520.929871,76.539261,0.320499,0,-1.101854,0.000051,-1.964257,0.000012,3.817862,568.55011,-80.7099,0.40109,0,-0.674042,0.00004,4.393953,0.000009
0.044,43.042404,520.600647,76.941132,0.320784,0,-1.101449,0.000001,-1.992542,0.000014,3.737679,568.707397,-80.305283,0.400995,0,-0.673456,0.000016,4.41028,0.00002
0.045,42.962223,521.062378,76.777084,0.321968,0,-1.101169,-0.000002,-1.958023,-0.000002,3.976559,567.445007,-79.980621,0.401357,0,-0.673339,0.000001,4.346769,0.00002
0.046,42.481125,522.470093,75.965775,0.32294,0,-1.1012,0.000017,-1.899862,0.000017,3.335931,567.441406,-80.223251,0.401184,0,-0.673948,0.000035,4.650398,0.000019
0.047,41.042004,521.982666,75.801727,0.324026,0,-1.100251,0.000079,-1.975133,0.000003,3.177234,566.966553,-80.464516,0.401194,0,-0.673279,0.00002,4.572878,0.000007
0.048,41.119682,522.75885,75.962334,0.324951,0,-1.100304,0.000015,-1.824404,0.000005,3.495462,565.697571,-80.140541,0.40204,0,-0.674147,0.000014,4.588751,-0.000001
0.049,40.241844,525.434875,75.716263,0.325683,0,-1.100891,-0.000018,-1.937144,0.000007,3.732676,565.224182,-79.571182,0.402088,0,-0.674185,0.000027,4.500795,0.000006
0.05,39.521034,524.941528,75.066261,0.32684,0,-1.100626,0.000008,-1.879896,0.000012,3.655828,565.223877,-79.569809,0.401961,0,-0.673205,0.000006,4.248029,0.00001
0.051,38.40181,524.936279,75.469505,0.32799,0,-1.098695,0.000059,-1.932724,0.00001,3.173898,563.47937,-79.569122,0.402294,0,-0.67439,0.000007,4.568498,0.000015
0.052,37.84053,527.288818,75.144157,0.329132,0,-1.099984,-0.000022,-1.936796,0.000003,3.094548,562.686462,-79.242401,0.40249,0,-0.674185,0.000024,4.404866,0.000008
0.053,37.201572,527.427856,74.736786,0.330383,0,-1.099161,-0.000002,-1.973687,0.000008,2.617621,563.960083,-78.755066,0.402328,0,-0.67265,0.000004,4.27382,0.000015
0.054,36.560944,529.9505,74.734718,0.331049,0,-1.099337,0.000014,-1.922301,-0.000001,2.855668,561.428345,-78.916367,0.402815,0,-0.674263,0.000012,4.320618,0.000005
0.055,35.680599,530.573364,74.731277,0.331675,0,-1.0986,0.000032,-1.799775,-0.000002,3.0152,560.315674,-78.752998,0.402976,0,-0.674596,-0.000016,4.21124,0.000013
0.056,35.121822,532.293274,74.973228,0.333078,0,-1.099313,0.000046,-2.00063,-0.000001,2.932515,560.633118,-78.428345,0.403026,0,-0.673649,0.000026,4.36434,0.000009
0.057,34.319992,533.071411,74.647186,0.33376,0,-1.09879,0.000007,-1.844022,0.000001,2.695303,558.567688,-78.912926,0.403684,0,-0.67423,0.000052,4.31092,-0.000003
0.058,33.12059,533.371094,74.564484,0.335365,0,-1.097505,0.00003,-1.941709,-0.000002,3.171396,559.995667,-78.911545,0.402811,0,-0.674146,-0.000013,4.234012,0.000008
0.059,32.879204,536.054077,74.481766,0.335593,0,-1.097663,0.000015,-1.797791,0.000013,2.614285,559.836487,-78.344254,0.403318,0,-0.672677,0.000009,4.24392,0.000008
0.06,31.839329,536.192261,73.993744,0.336785,0,-1.097275,-0.00002,-1.822945,0.000017,2.767981,557.148621,-78.423523,0.403536,0,-0.673858,-0.000004,4.537237,0.000011
0.061,30.801123,535.858765,74.316345,0.338195,0,-1.096479,0.000037,-2.028228,0.00002,3.246575,557.622864,-78.584824,0.403671,0,-0.673783,0.000033,4.422915,0.000003
0.062,30.47789,539.335632,73.827629,0.33865,0,-1.096753,0.000044,-1.718455,-0.000004,2.848996,556.831116,-78.016159,0.40372,0,-0.673353,0.000043,4.28945,0.000018
0.063,29.357832,539.630981,73.582245,0.339507,0,-1.096725,0.000022,-1.714669,0.000011,2.766312,554.619446,-78.582764,0.403887,0,-0.673896,0.000018,4.557355,0.000002
0.064,28.47999,540.246887,74.148163,0.340606,0,-1.096361,0.000033,-1.954009,0.000011,3.404439,554.453125,-78.336685,0.404042,0,-0.675042,0.000023,4.242693,0.000007
0.065,27.757511,542.925354,73.579498,0.341371,0,-1.096165,0.000035,-1.773946,0.000014,3.721834,555.408142,-77.686676,0.403649,0,-0.673394,0.000021,4.087695,0.000013
0.066,27.039204,543.859192,73.898651,0.341963,0,-1.095976,0.000054,-1.743918,-0.000001,3.718498,553.828918,-78.174011,0.403943,0,-0.673277,0.000011,4.454188,0.000005
0.067,26.399406,544.47522,73.493347,0.343562,0,-1.095712,0.000048,-1.872328,0.000012,4.039229,553.191284,-77.686676,0.404455,0,-0.673893,0.00002,4.188511,0.000009
0.068,25.919146,545.891479,73.248642,0.344313,0,-1.095702,-0.000001,-1.842701,0.000008,3.559801,552.871582,-77.765953,0.404231,0,-0.67403,0.000022,4.257939,0.000016
0.069,24.878437,548.237732,73.083221,0.345054,0,-1.09613,0.000045,-1.745525,0.000008,3.638315,552.236694,-77.84729,0.404598,0,-0.673696,0.000027,4.379289,0.000005
0.07,24.240309,547.606384,73.567116,0.346012,0,-1.094378,0.000061,-1.857116,0.000008,4.358294,551.447632,-77.277245,0.404635,0,-0.673861,0.000041,3.86627,0.000012
